Elapsed time;Bytes Received per Second;Bytes Sent per Second
01:43:56,0;518.0;180.0
01:43:58,0;518.0;180.0
01:44:00,0;518.0;180.0
01:44:02,0;518.0;180.0
01:44:04,0;518.0;180.0
01:44:06,0;518.0;180.0
01:44:08,0;518.0;180.0
01:44:10,0;518.0;180.0
01:44:12,0;518.0;180.0
01:44:14,0;518.0;180.0
01:44:16,0;518.0;180.0
01:44:18,0;518.0;180.0
01:44:20,0;518.0;180.0
01:44:22,0;518.0;180.0
01:44:24,0;518.0;180.0
01:44:26,0;518.0;180.0
01:44:28,0;518.0;180.0
01:44:30,0;518.0;180.0
01:44:32,0;518.0;180.0
01:44:34,0;518.0;180.0
01:44:36,0;518.0;180.0
01:44:38,0;518.0;180.0
01:44:40,0;518.0;180.0
01:44:42,0;518.0;180.0
01:44:44,0;518.0;180.0
01:44:46,0;518.0;180.0
01:44:48,0;518.0;180.0
01:44:50,0;518.0;180.0
01:44:52,0;518.0;180.0
01:44:54,0;518.0;180.0
01:44:56,0;518.0;180.0
01:44:58,0;518.0;180.0
01:45:00,0;518.0;180.0
01:45:02,0;518.0;180.0
01:45:04,0;518.0;180.0
01:45:06,0;518.0;180.0
01:45:08,0;518.0;180.0
01:45:10,0;518.0;180.0
01:45:12,0;518.0;180.0
01:45:14,0;518.0;180.0
01:45:16,0;518.0;180.0
01:45:18,0;518.0;180.0
01:45:20,0;518.0;180.0
01:45:22,0;518.0;180.0
01:45:24,0;518.0;180.0
01:45:26,0;518.0;180.0
01:45:28,0;518.0;180.0
01:45:30,0;518.0;180.0
01:45:32,0;518.0;180.0
01:45:34,0;518.0;180.0
01:45:36,0;518.0;180.0
01:45:38,0;518.0;180.0
01:45:40,0;518.0;180.0
01:45:42,0;518.0;180.0
01:45:44,0;518.0;180.0
01:45:46,0;518.0;180.0
01:45:48,0;518.0;180.0
01:45:50,0;518.0;180.0
01:45:52,0;518.0;180.0
01:45:54,0;518.0;180.0
01:45:56,0;518.0;180.0
01:45:58,0;518.0;180.0
01:46:00,0;518.0;180.0
01:46:02,0;518.0;180.0
01:46:04,0;518.0;180.0
01:46:06,0;518.0;180.0
01:46:08,0;518.0;180.0
01:46:10,0;518.0;180.0
01:46:12,0;518.0;180.0
01:46:14,0;518.0;180.0
01:46:16,0;518.0;180.0
01:46:18,0;518.0;180.0
01:46:20,0;518.0;180.0
01:46:22,0;518.0;180.0
01:46:24,0;518.0;180.0
01:46:26,0;518.0;180.0
01:46:28,0;518.0;180.0
01:46:30,0;518.0;180.0
01:46:32,0;518.0;180.0
01:46:34,0;518.0;180.0
01:46:36,0;518.0;180.0
01:46:38,0;518.0;180.0
01:46:40,0;518.0;180.0
01:46:42,0;518.0;180.0
01:46:44,0;518.0;180.0
01:46:46,0;518.0;180.0
01:46:48,0;518.0;180.0
01:46:50,0;518.0;180.0
01:46:52,0;518.0;180.0
01:46:54,0;518.0;180.0
01:46:56,0;518.0;180.0
01:46:58,0;518.0;180.0
01:47:00,0;518.0;180.0
